price,bathrooms,grade,sqft_above,sqft_living15,zipcode,zip_encoder,grade2,zip_encoder2
305000.0,2.25,7,2660,1590,98092,17,49,289
461000.0,3.25,9,1980,1900,98056,24,81,576
215000.0,2.25,7,1610,1950,98056,24,49,576
335000.0,1.75,7,765,1030,98136,39,49,1521
243500.0,2.5,7,1980,1980,98023,6,49,36
1099880.0,2.75,10,3520,2520,98199,59,100,3481
153000.0,1.0,7,1200,1350,98023,6,49,36
430000.0,1.5,8,1290,1570,98117,41,64,1681
700000.0,1.5,8,1290,1570,98117,41,64,1681
905000.0,2.5,7,2390,1950,98040,68,49,4624
247500.0,1.75,7,1960,1750,98032,3,49,9
199000.0,1.5,7,1160,1160,98023,6,49,36
314000.0,1.75,7,1210,1650,98038,21,49,441
437500.0,2.5,9,2320,2550,98045,29,81,841
850830.0,2.5,9,1270,2200,98102,66,81,4356
555000.0,2.0,7,1440,1610,98117,41,49,1681
699950.0,2.25,8,2190,2570,98077,56,64,3136
1088000.0,2.5,8,2920,2370,98004,69,64,4761
290000.0,1.0,7,1210,1640,98058,18,49,324
375000.0,2.5,8,1460,2250,98058,18,64,324
460000.0,1.0,7,1170,1240,98117,41,49,1681
188500.0,1.75,8,1240,1270,98198,11,64,121
680000.0,2.5,10,3140,2990,98077,56,100,3136
470000.0,1.75,7,2030,2500,98052,52,49,2704
597750.0,2.5,8,2310,1940,98027,47,64,2209
570000.0,1.75,6,700,1380,98103,44,36,1936
272500.0,1.75,7,1160,1540,98038,21,49,441
329950.0,1.75,7,1080,2090,98108,19,49,361
480000.0,2.5,9,2520,2640,98001,4,81,16
740500.0,3.5,8,2780,1830,98117,41,64,1681
518500.0,3.5,8,1590,1620,98103,44,64,1936
205425.0,1.0,6,880,1190,98178,13,36,169
171800.0,2.0,6,1570,1880,98168,2,36,4
535000.0,1.0,7,1610,1610,98144,45,49,2025
660000.0,2.5,8,1560,2340,98177,54,64,2916
391500.0,2.0,7,1450,1580,98034,37,49,1369
395000.0,1.0,6,770,1710,98117,41,36,1681
445000.0,1.75,7,1720,1850,98118,23,49,529
770000.0,2.25,9,2910,2700,98052,52,81,2704
1450000.0,2.75,8,1980,3060,98004,69,64,4761
445000.0,2.25,8,1620,2660,98178,13,64,169
260000.0,2.25,8,1360,2090,98023,6,64,36
822500.0,3.5,7,1720,1700,98103,44,49,1936
430000.0,2.5,7,2070,1970,98065,38,49,1444
212000.0,1.75,7,1060,1420,98092,17,49,289
660500.0,2.25,8,1440,2060,98027,47,64,2209
784000.0,3.5,9,2460,2480,98052,52,81,2704
453246.0,2.5,8,1390,1690,98029,46,64,2116
675000.0,3.5,9,2140,1540,98107,42,81,1764
199000.0,1.75,7,1320,1550,98003,8,49,64
220000.0,1.75,7,1010,1750,98003,8,49,64
452000.0,2.25,8,1340,1550,98028,31,64,961
382500.0,1.0,6,1190,1060,98125,33,36,1089
519950.0,2.25,8,1170,1350,98107,42,64,1764
665000.0,1.0,7,1110,1170,98119,62,49,3844
527700.0,2.5,8,1550,2820,98006,63,64,3969
205000.0,1.0,7,1010,1610,98058,18,49,324
420000.0,1.0,7,940,1560,98133,22,49,484
500000.0,2.25,8,1380,2230,98006,63,64,3969
921500.0,2.5,9,3670,2840,98077,56,81,3136
890000.0,1.0,8,2370,2200,98109,65,64,4225
430000.0,2.5,7,2420,1940,98027,47,49,2209
258000.0,2.0,8,1130,1360,98032,3,64,9
511000.0,1.0,7,980,1450,98103,44,49,1936
532170.0,2.0,8,1360,1500,98103,44,64,1936
560000.0,1.0,7,1110,1420,98107,42,49,1764
282950.0,1.0,7,1250,1680,98003,8,49,64
2250000.0,3.25,12,3540,3160,98006,63,144,3969
350000.0,1.0,7,700,1010,98115,50,49,2500
215000.0,1.0,7,1180,1190,98058,18,49,324
650000.0,3.5,9,2500,2640,98056,24,81,576
320000.0,2.75,8,1620,1980,98023,6,64,36
247000.0,2.0,7,1270,1160,98022,15,49,225
320000.0,1.75,8,1760,1730,98059,36,64,1296
255000.0,2.25,7,1030,1010,98146,20,49,400
438000.0,1.75,7,1780,1200,98034,37,49,1369
900000.0,2.5,10,3400,3400,98075,58,100,3364
441000.0,2.75,7,1160,1710,98034,37,49,1369
420000.0,2.0,7,1010,2110,98027,47,49,2209
370000.0,1.75,7,1180,1640,98034,37,49,1369
269950.0,1.75,5,700,1830,98198,11,25,121
807100.0,2.5,9,2680,2920,98006,63,81,3969
653000.0,2.5,8,1610,2480,98034,37,64,1369
371500.0,2.0,7,1370,1770,98133,22,49,484
284000.0,1.75,7,1560,1070,98166,32,49,1024
272000.0,1.75,7,1670,1930,98023,6,49,36
313000.0,1.5,7,1340,1480,98133,22,49,484
917500.0,2.5,10,2570,3740,98033,60,100,3600
673000.0,2.25,8,2590,2260,98006,63,64,3969
425000.0,2.5,8,820,1590,98122,51,64,2601
399950.0,2.75,7,1320,1280,98144,45,49,2025
385000.0,1.0,6,1220,1200,98122,51,36,2601
269950.0,1.5,7,1320,1950,98022,15,49,225
330000.0,1.0,7,1060,1540,98177,54,49,2916
260000.0,2.5,7,1670,1670,98030,9,49,81
470000.0,3.0,7,1680,1410,98126,27,49,729
589000.0,3.0,7,2440,2290,98034,37,49,1369
163500.0,1.5,7,1050,1050,98038,21,49,441
835000.0,2.75,9,2140,2260,98052,52,81,2704
1095000.0,3.0,10,2090,2540,98033,60,100,3600
269000.0,1.75,8,1100,2190,98023,6,64,36
560000.0,2.5,8,1900,2030,98074,57,64,3249
615000.0,1.0,6,1330,1330,98103,44,36,1936
585188.0,2.25,8,1430,2230,98052,52,64,2704
305000.0,1.75,7,1220,1540,98034,37,49,1369
166950.0,1.0,6,1190,1230,98058,18,36,324
799000.0,2.5,8,2140,2680,98040,68,64,4624
400000.0,2.5,7,1420,1900,98133,22,49,484
230000.0,1.0,7,1060,1570,98155,26,49,676
256883.0,2.5,8,1690,2550,98023,6,64,36
423000.0,2.0,7,1130,1500,98108,19,49,361
465000.0,2.5,8,2150,1750,98126,27,64,729
440000.0,2.5,7,1910,2330,98024,43,49,1849
385000.0,1.75,7,1350,1560,98038,21,49,441
210000.0,1.0,6,860,1300,98056,24,36,576
297000.0,2.5,8,1940,2030,98042,14,64,196
470000.0,1.0,7,1010,1680,98107,42,49,1764
226500.0,1.5,7,900,1430,98023,6,49,36
274250.0,1.0,6,910,1400,98059,36,36,1296
840000.0,1.75,9,1630,2770,98040,68,81,4624
677900.0,2.5,8,2440,2750,98052,52,64,2704
425000.0,1.0,7,1010,1290,98116,49,49,2401
180250.0,0.75,6,900,1250,98166,32,36,1024
464000.0,3.0,7,1600,1560,98133,22,49,484
320000.0,2.25,8,1550,1630,98038,21,64,441
625504.0,2.25,8,1060,1160,98105,64,64,4096
592500.0,2.5,9,2240,2520,98074,57,81,3249
465000.0,2.5,9,2714,2590,98001,4,81,16
477000.0,2.75,8,1720,2130,98118,23,64,529
280000.0,1.0,6,850,1100,98168,2,36,4
1505000.0,3.0,9,1870,3836,98040,68,81,4624
445838.0,2.5,8,2250,1320,98146,20,64,400
1072000.0,2.25,8,1950,2580,98144,45,64,2025
467000.0,1.5,8,1320,2120,98177,54,64,2916
686000.0,2.5,10,2760,3070,98075,58,100,3364
279950.0,2.0,7,1350,1900,98198,11,49,121
527000.0,2.25,8,2330,1910,98011,35,64,1225
325000.0,2.25,8,1780,2080,98030,9,64,81
328000.0,2.25,7,2020,2020,98038,21,49,441
390000.0,2.25,7,1250,1280,98146,20,49,400
479950.0,2.0,8,1510,1640,98053,55,64,3025
264950.0,2.25,7,1120,1510,98023,6,49,36
235000.0,1.0,7,980,1960,98031,10,49,100
516500.0,2.5,7,1480,2250,98053,55,49,3025
655000.0,1.75,7,1230,2030,98166,32,49,1024
500000.0,2.75,7,2280,2280,98059,36,49,1296
315000.0,2.75,8,1780,2120,98023,6,64,36
213000.0,1.0,6,1000,1150,98024,43,36,1849
475000.0,1.5,7,1620,2090,98108,19,49,361
1025000.0,4.0,10,3760,3430,98033,60,100,3600
416000.0,2.0,7,1640,2070,98010,25,49,625
410000.0,1.0,7,1670,1510,98122,51,49,2601
800000.0,3.5,10,3530,2920,98077,56,100,3136
472000.0,2.5,9,2350,2600,98003,8,81,64
225000.0,1.75,7,1430,1190,98003,8,49,64
210000.0,1.0,6,830,830,98126,27,36,729
455000.0,1.0,7,1430,1450,98115,50,49,2500
225000.0,1.0,6,1300,1260,98002,1,36,1
480000.0,1.0,7,790,1390,98103,44,49,1936
363000.0,2.5,9,2740,2570,98023,6,81,36
2400000.0,2.5,9,1830,3120,98074,57,81,3249
181000.0,1.5,6,720,1150,98106,16,36,256
250000.0,2.0,7,2010,2010,98002,1,49,1
481000.0,1.75,6,770,1390,98103,44,36,1936
260000.0,2.0,7,1240,1750,98032,3,49,9
455000.0,2.5,9,3360,3060,98058,18,81,324
415000.0,2.25,8,1510,1730,98045,29,64,841
349500.0,1.0,7,800,1620,98118,23,49,529
245000.0,2.5,7,1730,1630,98030,9,49,81
592500.0,2.0,7,1420,1420,98115,50,49,2500
385000.0,1.75,7,1180,1910,98106,16,49,256
315000.0,1.75,7,1200,1550,98059,36,49,1296
255000.0,1.0,7,1230,1380,98045,29,49,841
693000.0,2.5,8,2460,2990,98052,52,64,2704
780000.0,1.0,8,1460,1660,98112,67,64,4489
237000.0,1.75,7,1270,1600,98198,11,49,121
525000.0,2.25,10,1320,2380,98074,57,100,3249
425000.0,1.0,5,770,1330,98144,45,25,2025
369900.0,0.75,5,760,1230,98070,34,25,1156
290000.0,2.5,7,1700,1950,98031,10,49,100
285000.0,1.0,7,1120,1130,98106,16,49,256
415000.0,1.0,7,1070,1320,98115,50,49,2500
272500.0,2.5,8,1420,2070,98023,6,64,36
2900000.0,3.25,11,4750,3890,98004,69,121,4761
1365000.0,4.75,11,5310,4180,98077,56,121,3136
436000.0,1.0,7,1040,1440,98133,22,49,484
210000.0,1.0,7,1700,1350,98003,8,49,64
236000.0,1.0,7,1300,1320,98178,13,49,169
331000.0,1.75,7,580,1440,98199,59,49,3481
365000.0,2.5,8,2653,2653,98031,10,64,100
450000.0,2.0,8,2290,1660,98058,18,64,324
770000.0,2.75,9,2850,1860,98028,31,81,961
455000.0,2.5,8,2210,2670,98038,21,64,441
405000.0,1.75,6,1240,2020,98118,23,36,529
304900.0,1.75,7,1610,1720,98031,10,49,100
170000.0,1.0,6,860,1650,98178,13,36,169
2050000.0,3.0,9,2630,3050,98122,51,81,2601
780000.0,2.5,9,3500,3920,98053,55,81,3025
330000.0,3.0,8,1740,2570,98028,31,64,961
370000.0,2.5,9,2720,2410,98030,9,81,81
467000.0,2.25,7,1850,2300,98072,40,49,1600
405000.0,1.75,7,1140,1670,98034,37,49,1369
675000.0,2.25,8,1450,2310,98006,63,64,3969
500000.0,1.0,7,1140,1520,98006,63,49,3969
389999.0,2.5,7,1890,2410,98166,32,49,1024
630000.0,1.75,8,1780,2120,98034,37,64,1369
360000.0,2.5,9,2160,2280,98001,4,81,16
580000.0,3.0,8,2270,2320,98056,24,64,576
550000.0,2.0,8,1270,2390,98126,27,64,729
879000.0,2.5,10,3360,3150,98075,58,100,3364
265000.0,2.0,7,1320,1740,98042,14,49,196
446500.0,2.5,8,2650,2400,98059,36,64,1296
404000.0,1.5,7,1330,2140,98108,19,49,361
267500.0,1.75,7,1090,1630,98188,7,49,49
3075000.0,5.0,10,2600,4550,98074,57,100,3249
335000.0,2.5,8,2440,2510,98003,8,64,64
576000.0,2.5,7,970,2190,98117,41,49,1681
208633.0,2.5,8,2040,2370,98038,21,64,441
315000.0,2.25,7,1120,1460,98166,32,49,1024
725000.0,1.75,8,960,1740,98112,67,64,4489
550000.0,2.75,8,1400,1800,98177,54,64,2916
610750.0,2.25,8,2180,2250,98074,57,64,3249
550700.0,1.0,6,1010,1460,98105,64,36,4096
665000.0,2.75,8,2220,2720,98056,24,64,576
834000.0,2.5,8,1980,2440,98144,45,64,2025
201000.0,1.75,6,1660,1660,98065,38,36,1444
2384000.0,2.5,10,3370,2880,98119,62,100,3844
1384000.0,3.25,11,2690,3860,98006,63,121,3969
1400000.0,3.25,11,2690,3860,98006,63,121,3969
305000.0,2.25,8,1350,2150,98058,18,64,324
487000.0,2.0,8,1720,1570,98133,22,64,484
390000.0,2.5,8,1930,2350,98042,14,64,196
548000.0,1.0,7,1170,1570,98103,44,49,1936
268750.0,1.0,6,800,1310,98166,32,36,1024
819900.0,2.75,9,3150,1560,98052,52,81,2704
520000.0,2.25,8,2030,2660,98027,47,64,2209
230000.0,2.0,7,1450,1520,98001,4,49,16
240000.0,1.75,7,1510,1510,98023,6,49,36
232000.0,1.0,6,960,1820,98146,20,36,400
240500.0,1.0,6,960,1820,98146,20,36,400
274975.0,2.5,9,3030,3080,98077,56,81,3136
740000.0,2.0,9,2050,2320,98102,66,81,4356
186375.0,1.0,7,1000,1150,98166,32,49,1024
790000.0,2.25,9,1590,2500,98005,61,81,3721
880000.0,3.5,9,1890,2370,98105,64,81,4096
279000.0,1.75,7,2240,1590,98198,11,49,121
295000.0,2.0,8,1810,1910,98022,15,64,225
640000.0,1.0,7,1070,1710,98103,44,49,1936
940000.0,2.0,9,2490,2770,98040,68,81,4624
260000.0,2.5,7,1960,1800,98038,21,49,441
559900.0,2.75,9,1860,2580,98072,40,81,1600
791500.0,2.0,7,1510,1820,98103,44,49,1936
265000.0,1.75,7,1420,1740,98133,22,49,484
245000.0,1.75,7,1740,880,98178,13,49,169
485000.0,1.75,7,2560,2560,98052,52,49,2704
684000.0,3.5,9,2420,3470,98059,36,81,1296
425000.0,1.75,8,1300,1580,98125,33,64,1089
309600.0,1.75,6,1275,1660,98070,34,36,1156
552250.0,2.5,8,2580,2380,98065,38,64,1444
165000.0,1.0,6,1000,1020,98178,13,36,169
239900.0,1.0,6,1000,1020,98178,13,36,169
320000.0,1.0,6,1070,1360,98059,36,36,1296
206600.0,2.0,7,1390,1720,98030,9,49,81
387000.0,1.75,7,1250,2040,98155,26,49,676
299000.0,0.75,4,560,1300,98014,30,16,900
855000.0,2.75,9,2270,2610,98040,68,81,4624
315000.0,1.0,7,1300,1940,98166,32,49,1024
437500.0,1.0,7,790,1930,98103,44,49,1936
252000.0,1.5,7,1050,1640,98001,4,49,16
375000.0,1.75,7,1100,1600,98118,23,49,529
300000.0,2.5,7,1910,2010,98038,21,49,441
420000.0,1.0,7,1750,1750,98006,63,49,3969
900000.0,1.0,7,1330,1340,98033,60,49,3600
679900.0,2.5,9,1980,1520,98116,49,81,2401
463000.0,2.5,7,1640,1580,98053,55,49,3025
380000.0,2.5,9,2760,2470,98059,36,81,1296
329500.0,2.5,7,1820,1820,98038,21,49,441
604950.0,2.5,8,1340,2040,98033,60,64,3600
795000.0,2.5,8,1640,2920,98006,63,64,3969
465000.0,2.0,7,1840,1380,98045,29,49,841
673000.0,2.5,9,2990,2140,98166,32,81,1024
810000.0,2.5,10,3520,3400,98074,57,100,3249
785000.0,2.75,8,1910,2770,98075,58,64,3364
338000.0,3.0,7,1370,1810,98056,24,49,576
280000.0,2.25,7,1430,1430,98056,24,49,576
315000.0,2.25,7,1100,1810,98133,22,49,484
530000.0,2.25,7,1100,1810,98133,22,49,484
380000.0,3.0,9,3450,2860,98023,6,81,36
297000.0,2.25,7,1450,1650,98056,24,49,576
730000.0,2.5,10,3230,3480,98075,58,100,3364
450000.0,1.75,7,1110,1770,98125,33,49,1089
275000.0,3.0,7,1060,1680,98038,21,49,441
595000.0,2.0,7,2020,1910,98115,50,49,2500
435000.0,1.5,7,1300,1590,98144,45,49,2025
270000.0,1.5,6,1380,3130,98011,35,36,1225
950000.0,3.0,10,3030,3360,98077,56,100,3136
389000.0,2.25,7,2130,2300,98019,28,49,784
560000.0,2.25,8,1580,2420,98052,52,64,2704
1350000.0,3.5,11,3480,4050,98006,63,121,3969
799000.0,2.25,8,2510,2450,98040,68,64,4624
365500.0,2.0,7,1410,1410,98072,40,49,1600
252350.0,2.0,7,1160,1710,98058,18,49,324
403950.0,2.5,8,2120,1880,98146,20,64,400
385000.0,1.5,7,1380,1610,98177,54,49,2916
345000.0,1.0,7,1550,1450,98106,16,49,256
490000.0,2.75,9,1980,1950,98008,53,81,2809
330000.0,2.5,8,1600,1790,98019,28,64,784
927000.0,2.75,8,3300,3180,98004,69,64,4761
1118000.0,2.5,10,3840,3600,98040,68,100,4624
330000.0,1.0,7,1220,2000,98028,31,49,961
530000.0,2.25,7,1500,2110,98008,53,49,2809
365000.0,2.0,8,1940,2000,98006,63,64,3969
378750.0,2.5,7,1260,1060,98118,23,49,529
269900.0,1.75,7,1530,1390,98058,18,49,324
557000.0,3.5,8,1290,1630,98122,51,64,2601
360000.0,1.75,7,2150,1880,98022,15,49,225
352000.0,1.0,7,940,1560,98117,41,49,1681
437000.0,2.5,8,1750,2430,98045,29,64,841
322500.0,2.5,7,1820,1820,98038,21,49,441
650000.0,3.25,9,1330,1510,98116,49,81,2401
450000.0,2.0,8,1290,1290,98103,44,64,1936
278500.0,2.0,7,1570,1570,98092,17,49,289
364950.0,2.5,8,1930,2090,98055,12,64,144
840000.0,3.5,10,2840,3180,98038,21,100,441
268000.0,2.5,7,1550,1550,98031,10,49,100
517534.0,1.0,5,833,1380,98070,34,25,1156
632925.0,2.5,8,2990,2990,98077,56,64,3136
577500.0,2.5,9,2000,2450,98034,37,81,1369
339000.0,1.5,7,2390,2850,98178,13,49,169
570000.0,1.75,7,1530,2520,98052,52,49,2704
563500.0,1.75,7,1610,2690,98024,43,49,1849
423000.0,2.25,7,1290,1910,98133,22,49,484
355000.0,2.25,8,1860,2320,98019,28,64,784
1550000.0,4.25,12,6070,4680,98024,43,144,1849
482000.0,1.0,7,950,1320,98103,44,49,1936
625000.0,1.75,7,1600,1580,98006,63,49,3969
538000.0,2.5,8,2250,2360,98056,24,64,576
380000.0,2.5,8,2280,2310,98058,18,64,324
375000.0,1.0,7,940,1300,98122,51,49,2601
245000.0,2.5,7,1030,1850,98038,21,49,441
310000.0,1.75,7,2190,1620,98166,32,49,1024
1300000.0,2.0,8,1770,3530,98004,69,64,4761
397000.0,2.0,7,1200,1460,98034,37,49,1369
365000.0,2.5,8,2200,2310,98058,18,64,324
328500.0,3.0,9,2290,2290,98042,14,81,196
988000.0,3.0,11,4040,3930,98052,52,121,2704
1000000.0,2.5,8,1920,1810,98103,44,64,1936
237000.0,2.5,7,1490,1490,98055,12,49,144
525000.0,2.5,8,2450,2300,98011,35,64,1225
749000.0,2.5,9,1440,2140,98006,63,81,3969
722500.0,2.5,10,3470,3180,98074,57,100,3249
843000.0,2.5,10,3130,2860,98052,52,100,2704
438000.0,2.0,8,1270,1610,98115,50,64,2500
578000.0,1.75,8,1540,2460,98146,20,64,400
227950.0,1.5,7,1670,2077,98001,4,49,16
196000.0,2.25,7,2070,1890,98001,4,49,16
641000.0,1.0,8,1070,2400,98105,64,64,4096
350000.0,1.5,6,1250,1930,98038,21,36,441
205000.0,1.0,7,940,1150,98032,3,49,9
400000.0,1.75,7,1920,1920,98072,40,49,1600
1030000.0,2.5,10,2610,3630,98027,47,100,2209
505000.0,2.0,7,1260,1510,98034,37,49,1369
475000.0,2.5,7,1300,1930,98034,37,49,1369
520000.0,2.25,8,1440,2580,98028,31,64,961
1450000.0,4.5,10,3260,2610,98034,37,100,1369
333500.0,1.75,7,1220,1630,98011,35,49,1225
232000.0,1.0,6,1400,1230,98038,21,36,441
691100.0,2.75,8,1710,2120,98006,63,64,3969
811000.0,1.75,8,1870,1900,98040,68,64,4624
551000.0,2.5,9,2830,2500,98028,31,81,961
496500.0,2.5,8,2260,2350,98072,40,64,1600
705000.0,3.0,9,1770,2280,98070,34,81,1156
578000.0,2.5,9,1770,2460,98055,12,81,144
255000.0,1.75,7,1240,1490,98042,14,49,196
1050000.0,3.5,10,3450,3220,98006,63,100,3969
348000.0,2.25,8,2570,2400,98042,14,64,196
230000.0,2.0,7,1510,1570,98031,10,49,100
359500.0,2.25,9,2390,2480,98023,6,81,36
330000.0,1.0,6,980,1220,98133,22,36,484
80000.0,0.75,4,430,1200,98014,30,16,900
465000.0,1.75,7,1480,1480,98133,22,49,484
325000.0,2.5,8,1850,2100,98042,14,64,196
340500.0,2.0,7,1920,1770,98168,2,49,4
342500.0,2.5,8,1810,1810,98038,21,64,441
290900.0,2.0,6,1610,1310,98178,13,36,169
868700.0,4.25,10,3840,3230,98074,57,100,3249
1199000.0,2.75,9,3130,2820,98125,33,81,1089
1150000.0,3.25,11,3150,4300,98074,57,121,3249
859900.0,2.75,9,3390,3390,98074,57,81,3249
520000.0,2.25,7,1890,1580,98029,46,49,2116
460000.0,2.5,9,1080,1610,98118,23,81,529
438924.0,1.5,7,850,1770,98115,50,49,2500
315000.0,1.0,5,630,1420,98126,27,25,729
590000.0,2.75,8,1780,2920,98033,60,64,3600
378500.0,1.75,7,850,1620,98006,63,49,3969
328500.0,2.5,9,1950,2350,98042,14,81,196
849950.0,3.0,8,2990,2230,98005,61,64,3721
525000.0,1.5,7,900,1730,98136,39,49,1521
1385000.0,3.25,9,4860,3850,98074,57,81,3249
295000.0,2.5,8,1460,2060,98023,6,64,36
1067000.0,3.5,11,3860,3600,98006,63,121,3969
207950.0,2.0,6,890,1860,98118,23,36,529
699900.0,2.75,9,2810,2820,98075,58,81,3364
1280000.0,2.5,8,3400,3080,98027,47,64,2209
452000.0,1.5,7,960,1560,98052,52,49,2704
370000.0,2.0,7,1680,1680,98055,12,49,144
232000.0,1.75,7,1300,1300,98042,14,49,196
669950.0,2.5,7,2380,1910,98034,37,49,1369
397500.0,2.0,7,1070,1660,98034,37,49,1369
490000.0,2.5,8,870,1240,98112,67,64,4489
725000.0,2.0,9,1710,1440,98116,49,81,2401
299000.0,2.75,7,1610,2424,98032,3,49,9
625000.0,1.5,7,1190,1590,98116,49,49,2401
437500.0,2.5,7,2120,2530,98065,38,49,1444
650000.0,2.5,9,3180,3030,98065,38,81,1444
475000.0,1.0,7,860,1460,98117,41,49,1681
342000.0,2.0,8,1930,2200,98042,14,64,196
1197350.0,2.5,10,2770,2720,98033,60,100,3600
280000.0,1.5,7,1670,1930,98055,12,49,144
240000.0,1.75,7,1330,1450,98188,7,49,49
529000.0,1.0,7,1210,1640,98107,42,49,1764
442000.0,1.0,7,1030,1690,98136,39,49,1521
615000.0,1.0,7,820,1420,98119,62,49,3844
1485000.0,3.75,10,4030,2160,98033,60,100,3600
585000.0,1.75,8,1580,1980,98052,52,64,2704
480000.0,2.5,8,2600,2830,98059,36,64,1296
1095000.0,3.5,9,4410,2900,98053,55,81,3025
290000.0,1.0,7,1330,1220,98133,22,49,484
615000.0,1.75,7,950,1770,98116,49,49,2401
300000.0,1.0,7,1100,1460,98133,22,49,484
308000.0,1.0,6,1580,1860,98030,9,36,81
750000.0,2.5,9,2400,2080,98033,60,81,3600
2250000.0,2.25,9,3390,2950,98112,67,81,4489
890000.0,3.25,10,3180,2200,98059,36,100,1296
288000.0,1.0,6,1190,1190,98058,18,36,324
190000.0,1.0,6,630,1470,98178,13,36,169
515000.0,3.0,8,1520,2290,98133,22,64,484
235000.0,1.5,5,1690,1690,98055,12,25,144
