price,bathrooms,grade,sqft_above,sqft_living15,zipcode
355000.0,1.0,7,1010,1720,98118
356000.0,1.5,8,1680,1850,98059
315000.0,1.0,6,960,1570,98125
940000.0,1.5,9,1900,2020,98119
305000.0,2.25,7,2660,1590,98092
461000.0,3.25,9,1980,1900,98056
215000.0,2.25,7,1610,1950,98056
335000.0,1.75,7,765,1030,98136
243500.0,2.5,7,1980,1980,98023
1099880.0,2.75,10,3520,2520,98199
153000.0,1.0,7,1200,1350,98023
430000.0,1.5,8,1290,1570,98117
700000.0,1.5,8,1290,1570,98117
905000.0,2.5,7,2390,1950,98040
247500.0,1.75,7,1960,1750,98032
199000.0,1.5,7,1160,1160,98023
314000.0,1.75,7,1210,1650,98038
437500.0,2.5,9,2320,2550,98045
850830.0,2.5,9,1270,2200,98102
555000.0,2.0,7,1440,1610,98117
699950.0,2.25,8,2190,2570,98077
1088000.0,2.5,8,2920,2370,98004
290000.0,1.0,7,1210,1640,98058
375000.0,2.5,8,1460,2250,98058
460000.0,1.0,7,1170,1240,98117
188500.0,1.75,8,1240,1270,98198
680000.0,2.5,10,3140,2990,98077
470000.0,1.75,7,2030,2500,98052
597750.0,2.5,8,2310,1940,98027
570000.0,1.75,6,700,1380,98103
272500.0,1.75,7,1160,1540,98038
329950.0,1.75,7,1080,2090,98108
480000.0,2.5,9,2520,2640,98001
740500.0,3.5,8,2780,1830,98117
518500.0,3.5,8,1590,1620,98103
205425.0,1.0,6,880,1190,98178
171800.0,2.0,6,1570,1880,98168
535000.0,1.0,7,1610,1610,98144
660000.0,2.5,8,1560,2340,98177
391500.0,2.0,7,1450,1580,98034
395000.0,1.0,6,770,1710,98117
445000.0,1.75,7,1720,1850,98118
770000.0,2.25,9,2910,2700,98052
1450000.0,2.75,8,1980,3060,98004
445000.0,2.25,8,1620,2660,98178
260000.0,2.25,8,1360,2090,98023
822500.0,3.5,7,1720,1700,98103
430000.0,2.5,7,2070,1970,98065
212000.0,1.75,7,1060,1420,98092
660500.0,2.25,8,1440,2060,98027
784000.0,3.5,9,2460,2480,98052
453246.0,2.5,8,1390,1690,98029
675000.0,3.5,9,2140,1540,98107
199000.0,1.75,7,1320,1550,98003
220000.0,1.75,7,1010,1750,98003
452000.0,2.25,8,1340,1550,98028
382500.0,1.0,6,1190,1060,98125
519950.0,2.25,8,1170,1350,98107
665000.0,1.0,7,1110,1170,98119
527700.0,2.5,8,1550,2820,98006
205000.0,1.0,7,1010,1610,98058
420000.0,1.0,7,940,1560,98133
500000.0,2.25,8,1380,2230,98006
921500.0,2.5,9,3670,2840,98077
890000.0,1.0,8,2370,2200,98109
430000.0,2.5,7,2420,1940,98027
258000.0,2.0,8,1130,1360,98032
511000.0,1.0,7,980,1450,98103
532170.0,2.0,8,1360,1500,98103
560000.0,1.0,7,1110,1420,98107
282950.0,1.0,7,1250,1680,98003
2250000.0,3.25,12,3540,3160,98006
350000.0,1.0,7,700,1010,98115
215000.0,1.0,7,1180,1190,98058
650000.0,3.5,9,2500,2640,98056
320000.0,2.75,8,1620,1980,98023
247000.0,2.0,7,1270,1160,98022
320000.0,1.75,8,1760,1730,98059
255000.0,2.25,7,1030,1010,98146
438000.0,1.75,7,1780,1200,98034
900000.0,2.5,10,3400,3400,98075
441000.0,2.75,7,1160,1710,98034
420000.0,2.0,7,1010,2110,98027
370000.0,1.75,7,1180,1640,98034
269950.0,1.75,5,700,1830,98198
807100.0,2.5,9,2680,2920,98006
653000.0,2.5,8,1610,2480,98034
371500.0,2.0,7,1370,1770,98133
284000.0,1.75,7,1560,1070,98166
272000.0,1.75,7,1670,1930,98023
313000.0,1.5,7,1340,1480,98133
917500.0,2.5,10,2570,3740,98033
673000.0,2.25,8,2590,2260,98006
425000.0,2.5,8,820,1590,98122
399950.0,2.75,7,1320,1280,98144
385000.0,1.0,6,1220,1200,98122
269950.0,1.5,7,1320,1950,98022
330000.0,1.0,7,1060,1540,98177
260000.0,2.5,7,1670,1670,98030
470000.0,3.0,7,1680,1410,98126
589000.0,3.0,7,2440,2290,98034
163500.0,1.5,7,1050,1050,98038
835000.0,2.75,9,2140,2260,98052
1095000.0,3.0,10,2090,2540,98033
269000.0,1.75,8,1100,2190,98023
560000.0,2.5,8,1900,2030,98074
615000.0,1.0,6,1330,1330,98103
585188.0,2.25,8,1430,2230,98052
305000.0,1.75,7,1220,1540,98034
166950.0,1.0,6,1190,1230,98058
799000.0,2.5,8,2140,2680,98040
400000.0,2.5,7,1420,1900,98133
230000.0,1.0,7,1060,1570,98155
256883.0,2.5,8,1690,2550,98023
423000.0,2.0,7,1130,1500,98108
465000.0,2.5,8,2150,1750,98126
440000.0,2.5,7,1910,2330,98024
385000.0,1.75,7,1350,1560,98038
210000.0,1.0,6,860,1300,98056
297000.0,2.5,8,1940,2030,98042
470000.0,1.0,7,1010,1680,98107
226500.0,1.5,7,900,1430,98023
274250.0,1.0,6,910,1400,98059
840000.0,1.75,9,1630,2770,98040
677900.0,2.5,8,2440,2750,98052
425000.0,1.0,7,1010,1290,98116
180250.0,0.75,6,900,1250,98166
464000.0,3.0,7,1600,1560,98133
320000.0,2.25,8,1550,1630,98038
625504.0,2.25,8,1060,1160,98105
592500.0,2.5,9,2240,2520,98074
465000.0,2.5,9,2714,2590,98001
477000.0,2.75,8,1720,2130,98118
280000.0,1.0,6,850,1100,98168
1505000.0,3.0,9,1870,3836,98040
445838.0,2.5,8,2250,1320,98146
1072000.0,2.25,8,1950,2580,98144
467000.0,1.5,8,1320,2120,98177
686000.0,2.5,10,2760,3070,98075
279950.0,2.0,7,1350,1900,98198
527000.0,2.25,8,2330,1910,98011
325000.0,2.25,8,1780,2080,98030
328000.0,2.25,7,2020,2020,98038
390000.0,2.25,7,1250,1280,98146
479950.0,2.0,8,1510,1640,98053
264950.0,2.25,7,1120,1510,98023
235000.0,1.0,7,980,1960,98031
516500.0,2.5,7,1480,2250,98053
655000.0,1.75,7,1230,2030,98166
500000.0,2.75,7,2280,2280,98059
315000.0,2.75,8,1780,2120,98023
213000.0,1.0,6,1000,1150,98024
475000.0,1.5,7,1620,2090,98108
1025000.0,4.0,10,3760,3430,98033
416000.0,2.0,7,1640,2070,98010
410000.0,1.0,7,1670,1510,98122
800000.0,3.5,10,3530,2920,98077
472000.0,2.5,9,2350,2600,98003
225000.0,1.75,7,1430,1190,98003
210000.0,1.0,6,830,830,98126
455000.0,1.0,7,1430,1450,98115
225000.0,1.0,6,1300,1260,98002
480000.0,1.0,7,790,1390,98103
363000.0,2.5,9,2740,2570,98023
2400000.0,2.5,9,1830,3120,98074
181000.0,1.5,6,720,1150,98106
250000.0,2.0,7,2010,2010,98002
481000.0,1.75,6,770,1390,98103
260000.0,2.0,7,1240,1750,98032
455000.0,2.5,9,3360,3060,98058
415000.0,2.25,8,1510,1730,98045
349500.0,1.0,7,800,1620,98118
245000.0,2.5,7,1730,1630,98030
592500.0,2.0,7,1420,1420,98115
385000.0,1.75,7,1180,1910,98106
315000.0,1.75,7,1200,1550,98059
255000.0,1.0,7,1230,1380,98045
693000.0,2.5,8,2460,2990,98052
780000.0,1.0,8,1460,1660,98112
237000.0,1.75,7,1270,1600,98198
525000.0,2.25,10,1320,2380,98074
425000.0,1.0,5,770,1330,98144
369900.0,0.75,5,760,1230,98070
290000.0,2.5,7,1700,1950,98031
285000.0,1.0,7,1120,1130,98106
415000.0,1.0,7,1070,1320,98115
272500.0,2.5,8,1420,2070,98023
2900000.0,3.25,11,4750,3890,98004
1365000.0,4.75,11,5310,4180,98077
436000.0,1.0,7,1040,1440,98133
210000.0,1.0,7,1700,1350,98003
236000.0,1.0,7,1300,1320,98178
331000.0,1.75,7,580,1440,98199
365000.0,2.5,8,2653,2653,98031
450000.0,2.0,8,2290,1660,98058
770000.0,2.75,9,2850,1860,98028
455000.0,2.5,8,2210,2670,98038
405000.0,1.75,6,1240,2020,98118
304900.0,1.75,7,1610,1720,98031
170000.0,1.0,6,860,1650,98178
2050000.0,3.0,9,2630,3050,98122
780000.0,2.5,9,3500,3920,98053
330000.0,3.0,8,1740,2570,98028
370000.0,2.5,9,2720,2410,98030
467000.0,2.25,7,1850,2300,98072
405000.0,1.75,7,1140,1670,98034
675000.0,2.25,8,1450,2310,98006
500000.0,1.0,7,1140,1520,98006
389999.0,2.5,7,1890,2410,98166
630000.0,1.75,8,1780,2120,98034
360000.0,2.5,9,2160,2280,98001
580000.0,3.0,8,2270,2320,98056
550000.0,2.0,8,1270,2390,98126
879000.0,2.5,10,3360,3150,98075
265000.0,2.0,7,1320,1740,98042
446500.0,2.5,8,2650,2400,98059
404000.0,1.5,7,1330,2140,98108
267500.0,1.75,7,1090,1630,98188
3075000.0,5.0,10,2600,4550,98074
335000.0,2.5,8,2440,2510,98003
576000.0,2.5,7,970,2190,98117
208633.0,2.5,8,2040,2370,98038
315000.0,2.25,7,1120,1460,98166
725000.0,1.75,8,960,1740,98112
550000.0,2.75,8,1400,1800,98177
610750.0,2.25,8,2180,2250,98074
550700.0,1.0,6,1010,1460,98105
665000.0,2.75,8,2220,2720,98056
834000.0,2.5,8,1980,2440,98144
201000.0,1.75,6,1660,1660,98065
2384000.0,2.5,10,3370,2880,98119
1384000.0,3.25,11,2690,3860,98006
1400000.0,3.25,11,2690,3860,98006
305000.0,2.25,8,1350,2150,98058
487000.0,2.0,8,1720,1570,98133
390000.0,2.5,8,1930,2350,98042
548000.0,1.0,7,1170,1570,98103
268750.0,1.0,6,800,1310,98166
819900.0,2.75,9,3150,1560,98052
520000.0,2.25,8,2030,2660,98027
230000.0,2.0,7,1450,1520,98001
240000.0,1.75,7,1510,1510,98023
232000.0,1.0,6,960,1820,98146
240500.0,1.0,6,960,1820,98146
274975.0,2.5,9,3030,3080,98077
740000.0,2.0,9,2050,2320,98102
186375.0,1.0,7,1000,1150,98166
790000.0,2.25,9,1590,2500,98005
880000.0,3.5,9,1890,2370,98105
279000.0,1.75,7,2240,1590,98198
295000.0,2.0,8,1810,1910,98022
640000.0,1.0,7,1070,1710,98103
940000.0,2.0,9,2490,2770,98040
260000.0,2.5,7,1960,1800,98038
559900.0,2.75,9,1860,2580,98072
791500.0,2.0,7,1510,1820,98103
265000.0,1.75,7,1420,1740,98133
245000.0,1.75,7,1740,880,98178
485000.0,1.75,7,2560,2560,98052
684000.0,3.5,9,2420,3470,98059
425000.0,1.75,8,1300,1580,98125
309600.0,1.75,6,1275,1660,98070
552250.0,2.5,8,2580,2380,98065
165000.0,1.0,6,1000,1020,98178
239900.0,1.0,6,1000,1020,98178
320000.0,1.0,6,1070,1360,98059
206600.0,2.0,7,1390,1720,98030
387000.0,1.75,7,1250,2040,98155
299000.0,0.75,4,560,1300,98014
855000.0,2.75,9,2270,2610,98040
315000.0,1.0,7,1300,1940,98166
437500.0,1.0,7,790,1930,98103
252000.0,1.5,7,1050,1640,98001
375000.0,1.75,7,1100,1600,98118
300000.0,2.5,7,1910,2010,98038
420000.0,1.0,7,1750,1750,98006
900000.0,1.0,7,1330,1340,98033
679900.0,2.5,9,1980,1520,98116
463000.0,2.5,7,1640,1580,98053
380000.0,2.5,9,2760,2470,98059
329500.0,2.5,7,1820,1820,98038
604950.0,2.5,8,1340,2040,98033
795000.0,2.5,8,1640,2920,98006
465000.0,2.0,7,1840,1380,98045
673000.0,2.5,9,2990,2140,98166
810000.0,2.5,10,3520,3400,98074
785000.0,2.75,8,1910,2770,98075
338000.0,3.0,7,1370,1810,98056
280000.0,2.25,7,1430,1430,98056
315000.0,2.25,7,1100,1810,98133
530000.0,2.25,7,1100,1810,98133
380000.0,3.0,9,3450,2860,98023
297000.0,2.25,7,1450,1650,98056
730000.0,2.5,10,3230,3480,98075
450000.0,1.75,7,1110,1770,98125
275000.0,3.0,7,1060,1680,98038
595000.0,2.0,7,2020,1910,98115
435000.0,1.5,7,1300,1590,98144
270000.0,1.5,6,1380,3130,98011
950000.0,3.0,10,3030,3360,98077
389000.0,2.25,7,2130,2300,98019
560000.0,2.25,8,1580,2420,98052
1350000.0,3.5,11,3480,4050,98006
799000.0,2.25,8,2510,2450,98040
365500.0,2.0,7,1410,1410,98072
252350.0,2.0,7,1160,1710,98058
403950.0,2.5,8,2120,1880,98146
385000.0,1.5,7,1380,1610,98177
345000.0,1.0,7,1550,1450,98106
490000.0,2.75,9,1980,1950,98008
330000.0,2.5,8,1600,1790,98019
927000.0,2.75,8,3300,3180,98004
1118000.0,2.5,10,3840,3600,98040
330000.0,1.0,7,1220,2000,98028
530000.0,2.25,7,1500,2110,98008
365000.0,2.0,8,1940,2000,98006
378750.0,2.5,7,1260,1060,98118
269900.0,1.75,7,1530,1390,98058
557000.0,3.5,8,1290,1630,98122
360000.0,1.75,7,2150,1880,98022
352000.0,1.0,7,940,1560,98117
437000.0,2.5,8,1750,2430,98045
322500.0,2.5,7,1820,1820,98038
650000.0,3.25,9,1330,1510,98116
450000.0,2.0,8,1290,1290,98103
278500.0,2.0,7,1570,1570,98092
364950.0,2.5,8,1930,2090,98055
840000.0,3.5,10,2840,3180,98038
268000.0,2.5,7,1550,1550,98031
517534.0,1.0,5,833,1380,98070
632925.0,2.5,8,2990,2990,98077
577500.0,2.5,9,2000,2450,98034
339000.0,1.5,7,2390,2850,98178
570000.0,1.75,7,1530,2520,98052
563500.0,1.75,7,1610,2690,98024
423000.0,2.25,7,1290,1910,98133
355000.0,2.25,8,1860,2320,98019
1550000.0,4.25,12,6070,4680,98024
482000.0,1.0,7,950,1320,98103
625000.0,1.75,7,1600,1580,98006
538000.0,2.5,8,2250,2360,98056
380000.0,2.5,8,2280,2310,98058
375000.0,1.0,7,940,1300,98122
245000.0,2.5,7,1030,1850,98038
310000.0,1.75,7,2190,1620,98166
1300000.0,2.0,8,1770,3530,98004
397000.0,2.0,7,1200,1460,98034
365000.0,2.5,8,2200,2310,98058
328500.0,3.0,9,2290,2290,98042
988000.0,3.0,11,4040,3930,98052
1000000.0,2.5,8,1920,1810,98103
237000.0,2.5,7,1490,1490,98055
525000.0,2.5,8,2450,2300,98011
749000.0,2.5,9,1440,2140,98006
722500.0,2.5,10,3470,3180,98074
843000.0,2.5,10,3130,2860,98052
438000.0,2.0,8,1270,1610,98115
578000.0,1.75,8,1540,2460,98146
227950.0,1.5,7,1670,2077,98001
196000.0,2.25,7,2070,1890,98001
641000.0,1.0,8,1070,2400,98105
350000.0,1.5,6,1250,1930,98038
205000.0,1.0,7,940,1150,98032
400000.0,1.75,7,1920,1920,98072
1030000.0,2.5,10,2610,3630,98027
505000.0,2.0,7,1260,1510,98034
475000.0,2.5,7,1300,1930,98034
520000.0,2.25,8,1440,2580,98028
1450000.0,4.5,10,3260,2610,98034
333500.0,1.75,7,1220,1630,98011
232000.0,1.0,6,1400,1230,98038
691100.0,2.75,8,1710,2120,98006
811000.0,1.75,8,1870,1900,98040
551000.0,2.5,9,2830,2500,98028
496500.0,2.5,8,2260,2350,98072
705000.0,3.0,9,1770,2280,98070
578000.0,2.5,9,1770,2460,98055
255000.0,1.75,7,1240,1490,98042
1050000.0,3.5,10,3450,3220,98006
348000.0,2.25,8,2570,2400,98042
230000.0,2.0,7,1510,1570,98031
359500.0,2.25,9,2390,2480,98023
330000.0,1.0,6,980,1220,98133
80000.0,0.75,4,430,1200,98014
465000.0,1.75,7,1480,1480,98133
325000.0,2.5,8,1850,2100,98042
340500.0,2.0,7,1920,1770,98168
342500.0,2.5,8,1810,1810,98038
290900.0,2.0,6,1610,1310,98178
868700.0,4.25,10,3840,3230,98074
1199000.0,2.75,9,3130,2820,98125
1150000.0,3.25,11,3150,4300,98074
859900.0,2.75,9,3390,3390,98074
520000.0,2.25,7,1890,1580,98029
460000.0,2.5,9,1080,1610,98118
438924.0,1.5,7,850,1770,98115
315000.0,1.0,5,630,1420,98126
590000.0,2.75,8,1780,2920,98033
378500.0,1.75,7,850,1620,98006
328500.0,2.5,9,1950,2350,98042
849950.0,3.0,8,2990,2230,98005
525000.0,1.5,7,900,1730,98136
1385000.0,3.25,9,4860,3850,98074
295000.0,2.5,8,1460,2060,98023
1067000.0,3.5,11,3860,3600,98006
207950.0,2.0,6,890,1860,98118
699900.0,2.75,9,2810,2820,98075
1280000.0,2.5,8,3400,3080,98027
452000.0,1.5,7,960,1560,98052
370000.0,2.0,7,1680,1680,98055
232000.0,1.75,7,1300,1300,98042
669950.0,2.5,7,2380,1910,98034
397500.0,2.0,7,1070,1660,98034
490000.0,2.5,8,870,1240,98112
725000.0,2.0,9,1710,1440,98116
299000.0,2.75,7,1610,2424,98032
625000.0,1.5,7,1190,1590,98116
437500.0,2.5,7,2120,2530,98065
650000.0,2.5,9,3180,3030,98065
475000.0,1.0,7,860,1460,98117
342000.0,2.0,8,1930,2200,98042
1197350.0,2.5,10,2770,2720,98033
280000.0,1.5,7,1670,1930,98055
240000.0,1.75,7,1330,1450,98188
529000.0,1.0,7,1210,1640,98107
442000.0,1.0,7,1030,1690,98136
615000.0,1.0,7,820,1420,98119
1485000.0,3.75,10,4030,2160,98033
585000.0,1.75,8,1580,1980,98052
480000.0,2.5,8,2600,2830,98059
1095000.0,3.5,9,4410,2900,98053
290000.0,1.0,7,1330,1220,98133
615000.0,1.75,7,950,1770,98116
300000.0,1.0,7,1100,1460,98133
308000.0,1.0,6,1580,1860,98030
750000.0,2.5,9,2400,2080,98033
2250000.0,2.25,9,3390,2950,98112
890000.0,3.25,10,3180,2200,98059
288000.0,1.0,6,1190,1190,98058
190000.0,1.0,6,630,1470,98178
515000.0,3.0,8,1520,2290,98133
235000.0,1.5,5,1690,1690,98055
275000.0,1.0,6,940,940,98126
727500.0,2.0,7,1240,1380,98004
650000.0,2.5,7,3040,2740,98053
1600000.0,5.0,11,6050,4210,98024
365000.0,1.0,6,1590,1320,98125
662000.0,1.75,9,2500,2590,98052
270500.0,2.5,7,1320,1680,98038
200000.0,1.5,7,1360,1360,98092
970000.0,3.25,10,4740,3340,98075
160000.0,1.5,7,1010,1400,98198
204000.0,1.0,6,1040,1580,98010
358000.0,2.25,7,1610,1780,98058
452000.0,1.75,7,1570,1870,98011
595000.0,2.0,7,1010,1920,98103
249000.0,2.0,7,1360,1360,98042
346900.0,2.5,8,1970,2230,98055
2125000.0,2.5,12,5403,3980,98166
280000.0,2.5,7,1560,1560,98056
318888.0,1.75,8,2270,2120,98032
530000.0,2.25,8,2120,2480,98075
375000.0,2.25,8,2120,2120,98031
910000.0,2.5,11,3350,3920,98052
782000.0,2.5,10,2380,2560,98006
259950.0,2.0,9,720,1070,98106
315000.0,2.75,7,1560,1870,98058
215000.0,1.0,6,1320,1190,98168
705000.0,1.75,7,1140,2180,98040
1450000.0,3.0,10,3580,3080,98199
451000.0,1.75,7,1790,1520,98155
261000.0,1.0,6,750,1340,98055
396000.0,1.5,7,1300,1570,98028
725000.0,2.5,9,2990,3715,98059
1950000.0,3.5,11,2860,3230,98040
238000.0,1.0,7,1400,1310,98188
750000.0,1.75,8,2750,2040,98052
331500.0,2.5,7,2050,2050,98042
460000.0,3.0,7,1410,1960,98065
404950.0,2.25,8,2340,2340,98092
880000.0,2.5,9,2870,1630,98103
863000.0,2.5,10,4120,3180,98074
638700.0,1.75,7,1370,1870,98005
435000.0,2.5,7,1840,1600,98053
260000.0,1.0,6,1180,1490,98178
671500.0,2.75,7,1530,2040,98105
610000.0,1.0,8,1180,1440,98109
405000.0,0.75,6,870,1870,98014
338900.0,2.5,7,1830,1830,98038
720000.0,4.0,10,3200,3480,98075
442000.0,3.0,7,1760,1080,98108
650000.0,2.75,8,2550,1590,98122
263500.0,1.75,7,1040,1330,98058
300000.0,1.0,7,1220,2010,98038
266000.0,2.5,7,1805,2095,98002
930000.0,4.0,9,4150,2700,98077
530000.0,2.5,8,2320,2450,98028
180000.0,1.0,6,1384,1000,98023
619000.0,2.5,9,2720,3180,98065
264000.0,1.5,7,1820,1380,98003
730000.0,2.25,7,1530,2130,98116
439000.0,2.25,7,2060,2060,98034
268500.0,1.75,7,1080,1500,98031
330000.0,1.75,7,1510,1470,98045
640000.0,2.5,8,1960,2160,98122
900000.0,2.5,11,3180,3030,98074
370000.0,2.25,8,2110,2470,98038
685000.0,2.0,8,1330,1910,98144
505000.0,1.5,7,1010,2450,98053
265000.0,1.75,7,1820,2050,98022
290000.0,2.5,8,1610,1610,98055
296000.0,2.5,7,1780,2020,98038
360000.0,2.5,7,1840,1830,98178
240500.0,1.75,7,990,1220,98168
372500.0,2.5,8,1400,1540,98126
595000.0,2.5,9,3370,3330,98045
515000.0,3.0,9,3590,2860,98023
1220000.0,2.25,9,3200,3070,98040
507000.0,1.75,8,1670,2170,98053
399950.0,2.0,9,2420,2560,98092
185000.0,1.75,7,1430,1560,98010
460000.0,1.75,7,1440,1440,98052
435500.0,2.25,7,1450,1560,98029
469000.0,2.75,8,2100,2050,98188
531000.0,3.0,8,1110,1290,98103
443500.0,1.0,7,940,1150,98177
223000.0,2.0,7,1300,1660,98042
590000.0,3.5,8,2400,2200,98028
340000.0,2.5,7,1100,1200,98103
650000.0,2.0,8,1230,1780,98199
533600.0,2.5,8,1930,2190,98029
695000.0,2.75,9,2540,2600,98074
242000.0,1.75,7,1280,1500,98031
425000.0,2.25,7,1280,1810,98125
525000.0,2.25,7,1490,1290,98052
485000.0,2.5,8,1880,2040,98029
175000.0,1.0,7,1250,1390,98045
210000.0,2.0,8,1440,1700,98092
260000.0,2.5,7,1920,1930,98031
577000.0,2.5,7,1330,1920,98116
200000.0,1.5,7,1210,1408,98002
605000.0,1.75,7,940,1530,98117
325000.0,1.0,6,990,1440,98133
289500.0,1.0,6,820,1200,98178
559950.0,2.5,9,1660,1660,98144
1042500.0,1.75,8,1330,2760,98115
543500.0,2.25,7,990,1920,98199
480000.0,2.25,9,3250,3110,98042
218000.0,1.0,6,960,1080,98022
565000.0,1.75,7,960,1620,98199
426700.0,1.75,7,1600,1680,98056
650000.0,2.5,8,2130,2390,98028
542000.0,1.0,7,770,1760,98105
415000.0,1.75,7,1070,1200,98052
214000.0,1.0,6,1200,1200,98002
245000.0,1.5,7,1360,1220,98188
314500.0,2.0,8,2050,2180,98003
1120000.0,1.5,9,2000,1820,98116
378000.0,2.0,7,800,950,98136
305000.0,2.5,7,1340,1540,98001
595000.0,2.75,8,1980,2620,98028
729500.0,2.5,9,1530,1510,98116
430000.0,2.5,7,2360,2360,98065
240000.0,1.75,7,1150,1760,98038
545000.0,1.75,7,1680,1680,98136
530000.0,1.75,7,870,1580,98105
157000.0,1.0,6,870,1250,98198
425000.0,1.0,6,1260,1170,98146
220000.0,1.0,6,1000,1300,98166
521000.0,1.75,8,1550,2520,98077
325000.0,1.0,7,1120,2000,98118
597500.0,2.0,7,1380,1940,98126
337000.0,2.5,7,1470,1490,98065
1000000.0,2.5,10,3180,3000,98052
3070000.0,2.5,8,2330,2730,98034
495000.0,1.0,6,990,1250,98105
748000.0,3.5,8,1970,2180,98052
888000.0,1.5,7,1250,1750,98004
269900.0,1.75,7,1140,1150,98045
496500.0,2.5,7,1550,2090,98027
475000.0,2.5,7,1640,1880,98155
312000.0,1.5,7,1255,1307,98125
323000.0,1.0,7,1290,1390,98072
331000.0,1.75,7,1300,1890,98059
306000.0,1.5,8,1220,1220,98133
655000.0,2.5,8,2630,1640,98117
290000.0,1.5,8,1950,1940,98003
1250000.0,3.25,9,2360,2220,98105
460000.0,1.75,7,860,1880,98115
435000.0,2.5,7,850,1380,98115
664000.0,2.75,8,1630,2390,98006
865000.0,1.75,8,1800,2180,98102
385000.0,1.75,8,1200,1800,98058
497000.0,2.25,7,1350,2230,98034
280000.0,1.0,7,1010,1150,98045
188000.0,1.5,6,1120,1690,98178
478500.0,1.0,8,1200,1850,98136
1145000.0,3.5,11,4370,4190,98065
222000.0,2.0,7,970,1440,98023
799000.0,3.0,8,2580,3440,98053
609900.0,2.5,10,3190,3250,98038
413000.0,3.5,7,1750,1620,98106
400000.0,1.0,7,1420,1110,98115
802541.0,2.75,9,2990,2870,98006
320000.0,2.5,8,2680,2430,98023
507000.0,2.5,7,2730,2730,98065
387500.0,1.0,6,1220,1490,98115
396000.0,1.0,7,1500,1820,98072
373000.0,1.75,8,1430,2140,98055
1484900.0,2.5,10,4570,3180,98040
359900.0,2.25,8,2470,2330,98058
410000.0,1.0,6,670,1210,98115
690000.0,2.5,9,2900,2900,98053
245000.0,2.0,7,1410,1670,98030
700000.0,2.5,8,1610,2670,98075
268000.0,1.75,7,1100,2400,98198
225000.0,1.75,7,920,1350,98042
